ANOMIA67	POWERL67	ANOMIA71	POWERL71	EDUC	SEI		
8.122999999999999	14.552	13.607	11.729	14.783	5.11 
8.055	16.14	13.989	11.637	11.371	6.398 
15.9	11.685	13.353	16.215	16.098	7.468 
11.655	13.614	13.603	14.206	12.312	4.505 
18.117	18.997	24.374	26.812	10.632	0.5620000000000001 
16.185	17.605	19.972	19.327	6.811	4.758 
17.324	15.882	21.802	19.52	9.638	-0.647 
6.612	9.827999999999999	10.819	12.319	16.222	7.234 
12.553	17.217	14.263	17.236	10.43	1.159 
12.888	14.154	14.826	16.006	14.94	4.183 
9.210000000000001	10.367	10.962	13	12.19	5.467 
16.45	15.63	14.732	17.649	11.091	-0.394 
18.074	18.94	14.356	15.647	6.807	0.681 
16.017	19.554	16.482	18.583	12.582	4.199 
19.131	13.36	17.753	12.92	12.407	2.204 
10.638	13.177	15.401	12.962	11.752	2.981 
13.235	18.924	14.348	15.025	12.19	2.321 
20.275	21.783	21.134	21.615	9.69	7.385 
9.231	14.107	10.349	11.529	13.703	6.037 
8.752000000000001	12.568	13.759	17.569	17.091	7.376 
12.288	15.013	13.061	14.893	10.169	5.329 
19.708	16.364	18.849	19.787	3.97	0.697 
11.354	13.338	14.585	13.713	11.383	1.319 
12.426	14.971	14.333	15.425	10.806	3.768 
15.543	14.186	19.504	18.631	8.345000000000001	-0.5659999999999999 
13.448	16.153	14.683	19.343	15.942	3.209 
20.048	21.067	22.915	18.623	8.420999999999999	3.563 
11.59	11.369	10.728	6.425	11.457	5.071 
9.582000000000001	13.625	13.533	15.554	13.457	5.077 
14.004	15.454	12.15	14.18	8.291	3.979 
11.731	9.782	13.893	11.098	16.868	5.388 
17.907	15.374	16.533	14.882	9.292999999999999	5.79 
11.753	12.873	9.92	9.179	12.381	6.724 
6.819	5.876	6.565	11.253	18.094	7.634 
6.376	9.632999999999999	12.673	13.269	14.23	5.458 
10.388	15.734	14.686	11.445	12.113	3.954 
15.457	13.578	13.197	9.417999999999999	10.45	5.863 
14.57	16.57	15.792	13.273	8.545999999999999	3.248 
14.36	12.327	17.893	13.232	9.275	3.928 
8.991	16.861	15.091	18.363	12.437	6.192 
10.731	9.337999999999999	12.914	13.512	12.204	3.68 
17.989	15.849	18.347	14.795	12.623	3.85 
21.335	19.188	17.678	14.284	8.615	2.568 
18.275	18.641	17.816	16.69	9.209	3.058 
21.022	16.332	12.187	14.734	6.314	0.5590000000000001 
13.485	15.507	17.643	15.692	12.852	3.892 
11.524	13.084	10.813	14.26	13.587	7.613 
14.833	17.186	17.602	17.143	10.239	2.335 
11.285	15.225	14.304	15.299	15.845	8.209 
9.081	8.515000000000001	10.636	14.587	11.2	0.414 
15.63	12.305	13.603	13.808	12.928	2.9 
13.939	9.414	20.94	22.517	13.371	5.338 
4.414	8.294	11.763	11.165	14.797	4.318 
17.969	16.604	16.904	20.339	8.156000000000001	7.489 
9.167	13.996	11.218	13.531	16.976	6.787 
12.328	10.294	10.206	7.928	12.826	3.753 
11.71	15.882	14.823	15.522	12.046	4.616 
11.107	13.6	14.513	16.056	16.165	3.355 
14.686	14.581	16.277	15.102	12.732	4.561 
14.541	16.234	21.463	16.669	9.552	0.958 
5.492	8.717000000000001	7.276	9.673	11.159	6.293 
12.669	13.576	13.136	16.508	11.703	4.584 
10.885	15.472	19.969	21.01	12.308	4.691 
16.664	16.904	18.821	17.344	12.765	3.26 
10.473	14.954	15.175	12.941	13.51	5.747 
12.198	15.1	13.272	14.046	12.822	8.695 
14.561	12.4	9.808	13.238	15.886	0.985 
21.585	21.076	21.342	22.65	8.766	0.958 
10.847	10.315	6.813	7.186	15.762	8.593 
13.633	15.012	9.994999999999999	9.535	14.171	6.134 
11.083	13.276	14.056	15.048	12.077	6.768 
10.948	12.487	17.418	15.235	13.877	4.831 
12.097	12.329	14.021	13.398	12.467	6.802 
15.73	15.324	14.512	17.666	9.83	4.974 
14.341	12.289	14.468	15.873	13.582	4.245 
15.351	15.63	12.824	14.398	5.009	-0.5629999999999999 
19.799	16.347	17.26	18.096	7.169	4.395 
12.831	12.824	11.776	12.493	11.546	5.11 
9.961	12.57	12.828	14.544	8.084	0.353 
9.036	9.173999999999999	8.085000000000001	3.759	8.603	2.959 
14.902	17.144	16.194	15.654	9.273	-1.052 
7.224	10.695	11.345	13.254	15.442	5.743 
13.605	15.796	15.723	14.841	11.954	4.108 
14.427	14.672	8.664999999999999	13.928	11.412	5.031 
15.786	15.317	16.874	15.479	8.317	1.49 
11.501	12.555	6.813	10.673	14.65	3.01 
14.638	12.512	15.183	18.993	7.483	4.886 
11.297	14.891	14.844	13.817	12.156	5.182 
11.238	11.341	9.41	10.438	11.287	4.394 
11.022	10.138	14.24	14.791	16.997	6.899 
22.806	15.21	14.438	14.702	10.047	6.286 
13.095	18.403	13.867	18.369	10.689	2.888 
12.505	14.639	15.981	11.946	8.125	3.237 
17.116	17.043	19.725	13.497	6.814	5.115 
17.408	17.221	18.07	15.254	11.624	2.852 
15.278	14.711	16.728	19.5	9.407999999999999	0.989 
14.172	14.354	17.195	14.317	12.406	1.697 
14.494	16.802	17.764	16.563	13.68	2.737 
14.813	13.763	14.376	18.1	12.659	1.643 
16.705	15.307	15.469	12.525	10.12	2.675 
9.618	11.867	8.851000000000001	12.571	11.108	7.651 
10.181	8.225	7.694	12.018	8.728999999999999	6.096 
11.095	12.297	12.035	14.983	12.498	4.761 
15.022	16.487	15.516	18.194	4.869	0.8090000000000001 
9.058999999999999	10.045	6.103	8.725	16.352	6.151 
6.29	8.563000000000001	8.922000000000001	10.706	13.833	5.747 
13.892	13.861	16.278	17.735	7.193	2.093 
10.923	13.29	19.412	18.855	10.645	-0.603 
10.583	12.562	15.604	14.713	7.925	2.046 
8.282	12.262	9.704000000000001	11.798	13.055	7.648 
8.875	9.968999999999999	11.38	12.849	12.017	5.912 
15.393	14.266	9.302	11.239	10.777	3.951 
16.21	16.471	12.071	14.112	15.527	8.821 
10.345	15.145	15.509	17.321	12.227	4.522 
16.463	18.335	21.313	16.969	6.566	2.042 
8.57	9.786	13.548	13.307	16.305	3.074 
15.144	16.021	13.182	16.175	10.513	3.885 
9.146000000000001	13.918	11.845	13.851	9.435	1.31 
13.874	11.679	13.322	14.216	11.165	6.62 
16.36	19.309	12.766	13.817	12.884	2.005 
15.103	14.251	18.097	15.001	8.074999999999999	3.653 
15.226	16.074	13.012	15.519	8.587	4.471 
12.348	12.934	12.259	9.125	9.144	5.551 
22.065	22.958	23.448	21.362	4.527	-0.401 
12.64	16.099	11.992	14.684	16.564	6.673 
11.25	14.222	19.241	19.567	13.248	1.325 
13.402	16.996	19.654	15.134	7.739	4.276 
13.522	13.3	10.612	15.295	10.575	5.202 
14.706	18.311	14.321	15.94	14.132	5.813 
14.843	16.775	19.786	19.102	9.722	5.636 
12.582	19.828	17.223	20.267	10.833	1.807 
19.753	20.418	20.293	19.552	5.633	0.677 
18.252	15.34	11.352	17.766	8.484999999999999	2.567 
16.437	16.997	15.276	17.163	12.086	2.193 
13.067	15.497	19.048	18.576	6.182	4.211 
12.035	17.49	15.053	17.309	8.539	6.204 
7.642	12.896	8.460000000000001	13.571	12.395	2.839 
17.179	16.288	19.199	17.304	9.347	1.934 
12.278	14.728	15.306	14.755	9.913	1.276 
14.618	15.454	15.744	12.262	11.418	3.527 
13.698	14.097	15.276	18.722	9.26	5.498 
11.546	15.888	9.711	12.505	9.792	5.548 
16.247	15.928	13.071	14.562	14.88	5.612 
20.102	20.008	20.927	21.951	7.854	1.487 
14.647	16.341	13.298	12.943	3.92	1.819 
12.973	12.684	14.409	15.939	13.2	4.158 
13.837	14.762	15.365	15.799	12.566	2.872 
14.667	14.343	10.87	13.486	9.117000000000001	2.616 
11.932	11.818	14.983	16.008	11.843	0.679 
13.596	14.904	16.361	14.025	14.316	4.699 
13.92	20.364	11.299	13.833	12.76	7.241 
16.322	15.446	13.663	15.064	14.425	2.709 
11.468	14.885	15.514	15.063	14.028	2.844 
10.459	10.916	11.077	12.669	12.419	3.623 
10.041	12.023	11.856	13.154	6.285	1.015 
8.826000000000001	15.158	10.328	13.617	10.981	6.626 
11.911	13.958	11.886	12.423	11.93	6 
14.275	13.003	12.584	11.936	13.904	6.614 
17.77	18.619	18.122	13.073	6.73	2.439 
7.724	10.84	12.14	13.212	8.792	5.782 
18.597	16.845	17.214	10.746	8.028	1.413 
12.137	17.366	8.683	10.524	14.874	5.81 
9.994	7.275	16.262	13.559	11.192	4.589 
8.154999999999999	14.032	13.843	13.323	9.638	4.825 
16.347	18.801	16.32	14.322	7.997	1.405 
5.155	8.986000000000001	10.136	13.407	12.288	7.855 
9.353	14.445	12.659	13.834	7.103	4.291 
15.912	15.868	18.681	15.162	8.364000000000001	4.697 
16.596	10.806	12.407	12.029	14.813	5.208 
8.311999999999999	11.589	16.309	11.045	17.125	7.199 
11.984	14.154	10.313	14	15.723	5.151 
6.684	8.851000000000001	12.209	10.693	14.786	4.189 
11.838	14.662	13.047	12.65	12.751	3.821 
20.683	19.028	17.358	13.721	14.76	4.415 
7.004	9.606999999999999	15.899	13.558	16.853	5.894 
17.291	20.396	15.106	15.981	6.487	0.491 
8.622999999999999	12.337	7.143	7.414	12.088	8.189 
12.466	7.961	13.005	13.98	11.624	3.203 
9.811999999999999	13.928	15.967	13.141	5.501	2.679 
14.379	16.306	12.22	12.688	7.607	4.323 
12.238	13.66	12.181	18.897	8.954000000000001	3.54 
13.281	15.758	8.092000000000001	10.801	7.441	2.626 
11.623	16.347	15.501	15.158	16.802	4.63 
11.4	14.004	11.275	11.289	15.527	6.804 
12.248	15.884	5.183	7.132	17.724	7.545 
14.735	13.087	12.634	14.559	12.842	5.834 
11.601	19.568	15.685	18.004	8.247	3.464 
20.93	20.012	21.566	21.832	10.896	4.645 
12.631	10.851	12.002	12.45	17.936	6.664 
14.304	15.644	15.562	16.276	9.194000000000001	6.373 
15.993	18.555	16.671	14.185	10.764	4.306 
10.501	11.031	4.963	6.658	18.05	5.534 
13.3	14.208	14.26	16.039	17.129	8.542999999999999 
14.774	14.895	16.877	17.741	8.675000000000001	1.592 
12.387	12.815	9.971	11.847	17.641	3.529 
5.765	7.567	12.586	9.279	16.589	4.798 
15.032	12.775	16.904	18.819	8.939	1.263 
5.885	15.899	8.646000000000001	10.702	12.182	3.302 
2.099	6.65	4.97	8.708	14.469	7.064 
10.026	13.453	11.548	13.465	9.460000000000001	3.105 
9.879	11.012	6.841	5.979	14.778	5.604 
12.765	12.432	11.639	11.288	11.457	2.244 
14.257	17.311	16.229	15.7	10.34	3.997 
15.51	13.629	11.318	14.54	11.353	1.648 
12.935	16.783	10.28	14.834	12.642	6.084 
13.365	16.098	15.143	17.441	9.263999999999999	4.493 
20.844	19.219	20.498	20.966	5.854	1.155 
15.752	20.873	15.899	16.511	6.037	-1.813 
18.79	18.759	18.915	15.77	14.938	3.992 
9.708	13.98	10.966	12.968	12.199	4.361 
15.741	14.585	15.904	11.651	13.678	3.061 
10.359	13.977	9.359	15.463	10.442	1.987 
15.597	15.053	11.304	12.665	10.229	2.292 
20.536	18.205	20	12.937	12.346	3.559 
12.188	13.799	16.469	10.35	14.943	3.605 
12.784	14.448	11.686	11.755	7.949	3.052 
17.085	16.216	20.689	20.421	6.937	1.925 
11.806	15.343	15.258	16.631	9.882	4.4 
17.163	16.685	18.744	16.978	7.593	-1.541 
14.21	15.086	12.308	13.212	7.768	2.869 
17.039	14.931	14.824	15.221	9.382	2.078 
15.521	13.645	16.88	13.245	8.103	4.738 
11.89	11.74	11.402	14.366	8.340999999999999	0.184 
14.023	13.914	12.8	11.255	9.754	4.329 
13.8	10.849	14.227	13.976	17.02	7.275 
14.823	12.252	13.092	13.647	10.663	2.675 
12.954	12.391	14.234	15.187	11.649	2.201 
7.557	12.062	11.396	7.011	14.678	4.101 
11.859	7.974	12.109	10.141	14.274	4.409 
12.85	17.627	14.719	17.713	10.346	3.237 
11.901	15.913	13.571	17.358	14.016	5.492 
13.114	16.351	9.458	14.581	7.374	4.746 
18.878	20.377	16.716	18.877	6.707	3.449 
12.774	19.529	16.004	12.266	17.335	10.019 
7.467	9.148999999999999	16.844	16.919	10.976	4.487 
17.1	12.608	10.962	7.78	15.487	5.301 
11.308	14.381	12.469	13.898	10.99	5.192 
9.725	14.406	15.147	16.495	10.369	2.514 
17.131	15.177	17.267	11.231	10.709	7.266 
12.076	18.089	15.563	19.217	12.919	3.67 
16.761	15.037	12.021	9.358000000000001	14.3	3.586 
13.578	13.21	13.265	16.037	8.627000000000001	3.42 
17.341	19.195	15.949	17.593	4.429	0.173 
12.208	13.941	14.654	16.292	10.235	3.756 
15.123	17.016	18.743	16.637	8.760999999999999	1.205 
7.683	7.453	13.28	15.48	13.474	5.575 
10.873	12.265	15.883	14.651	6.784	9.5E-02 
13.967	16.888	13.253	13.937	17.07	4.663 
12.746	13.048	12.201	13.01	13.17	3.394 
16.529	14.599	13.392	12.736	11.771	3.863 
12.65	16.753	9.867000000000001	15.068	11.22	5.597 
10.373	9.602	12.258	12.104	16.757	3.6 
19.537	16.796	22.912	23.294	2.706	-0.509 
10.286	10.126	13.004	12.573	11.424	4.667 
13.976	13.902	13.399	12.323	8.612	2.536 
15.889	18.903	19.313	14.693	7.58	1.135 
16.637	16.901	8.686	12.477	12.04	4.284 
13.744	14.932	14.403	15.547	12.785	5.842 
17.656	16.478	12.606	13.785	14.863	1.604 
14.628	15.416	15.337	18.973	12.745	4.117 
9.896000000000001	15.244	14.151	16.208	12.118	4.326 
11.047	10.546	14.574	14.363	12.339	4.121 
14.522	14.928	14.671	14.05	12.076	1.314 
9.637	11.985	7.407	12.911	14.939	5.256 
11.059	12.946	14.039	14.729	8.743	2.657 
13.559	16.163	11.237	17.582	6.449	0.338 
13.855	15.25	15.826	18.784	12.524	4.252 
15.854	15.252	12.612	17.456	11.131	3.831 
15.012	17.83	16.669	14.742	10.588	0.338 
15.195	15.154	16.556	15.676	9.166	2.868 
8.401	10.156	9.007	13.305	18.95	9.07 
16.678	17.812	17.767	18.554	8.119999999999999	2.469 
11.568	14.024	13.895	16.015	13.69	4.207 
16.424	17.639	15.495	17.211	10.708	9.377000000000001 
16.173	19.353	16.821	24.166	10.475	3.61 
16.623	12.714	13.392	11.325	13.277	5.883 
15.072	12.636	15.519	13.35	13.314	5.679 
14.58	9.98	15.533	10.376	12.088	2.803 
12.707	15.848	13.186	13.756	11.203	3.341 
10.271	12.777	13.948	13.895	10.966	2.198 
10.33	14.143	10.279	15.81	10.781	6.699 
9.430999999999999	14.888	9.4	14.747	11.212	1.606 
14.803	16.41	12.651	12.035	7.749	3.221 
15.843	16.469	15.528	16.134	13.722	5.247 
19.846	16.025	17.202	14.444	6.433	3.186 
17.009	16.895	16.305	14.533	13.568	7.383 
9.272	11	7.628	13.788	14.047	4.094 
11.535	12.04	13.173	13.715	10.681	2.137 
13.244	17.233	24.146	20.172	7.356	3.014 
13.883	11.973	13.448	17.437	10.711	3.949 
12.308	10.457	11.135	11.535	8.52	3.754 
13.504	12.427	15.87	16.776	13.47	4.661 
13.057	12.998	16.276	15.297	11.27	3.133 
8.250999999999999	10.249	7.481	10.364	15.317	5.531 
19.457	17.817	11.863	12.838	10.247	-0.866 
13.104	12.149	12.312	12.749	13.607	2.821 
10.196	14.992	10.679	11.62	7.602	4.468 
18.57	20.099	22.344	20.731	9.555999999999999	3.938 
13.948	20.042	14.491	17.055	12.045	7.82 
15.083	16.804	18.089	16.163	11.246	2.295 
6.1	8.122999999999999	3.916	11.052	12.002	6.701 
20.467	21.403	18.89	19.257	8.867000000000001	0.416 
11.827	13.345	12.31	11.928	17.254	4.453 
16.556	19.77	16.434	15.214	12.853	2.953 
15.052	17.586	13.227	16.35	10.639	5.052 
18.677	17.479	21.773	17.556	4.615	0.5580000000000001 
9.76	15.47	10.079	11.272	10.65	6.78 
10.12	16.765	8.477	11.664	10.436	0.747 
13.085	17.964	11.686	13.701	11.137	2.305 
14.219	19.069	20.343	21.7	10.194	2.408 
11.389	14.367	8.885	10.811	15.325	5.798 
18.705	17.061	19.015	20.111	6.625	4.056 
4.95	10.658	12.378	12.709	15.731	5.711 
14.106	19.09	15.264	17.988	11.121	3.947 
15.641	13.222	14.126	14.402	12.256	6.987 
15.425	16.409	21.079	18.234	7.336	3.353 
9.470000000000001	11.163	14.832	19.328	8.294	3.808 
12.602	13.557	13.475	13.425	13.216	4.348 
12.679	14.808	14.037	11.242	13.81	7.982 
13.985	12.885	11.601	11.915	13.117	5.582 
17.548	14.708	20.15	21.4	9.59	3.307 
6.883	3.238	12.265	12.606	13.767	6.513 
13.001	14.953	12.773	16.004	8.846	2.674 
15.478	13.226	12.868	13.086	10.06	-1.652 
9.412000000000001	10.198	12.743	9.676	11.735	5.66 
18.819	18.796	17.229	15.826	6.322	0.9379999999999999 
17.374	15.759	14.931	14.256	9.054	1.295 
10.86	13.87	11.997	12.523	7.282	4.969 
3.462	11.755	6.143	7.899	15.071	3.466 
16.994	15.342	17.693	13.471	6.423	1.424 
13.587	15.204	15.271	16.971	11.857	1.677 
21.223	18.79	17.877	17.546	6.822	1.428 
11.155	13.175	17.229	16.796	8.169	3.948 
10.135	13.748	10.066	10.582	10.007	2.409 
12.258	15.624	11.834	12.252	10.112	2.207 
11.688	10.501	11.005	9.983000000000001	12.353	3.036 
11.953	18.496	13.378	18.353	4.725	2.465 
13.809	13.224	14.377	13.333	8.987	2.631 
12.025	9.401999999999999	7.745	6.619	17.39	5.984 
15.185	15.361	17.709	17.191	9.862	1.664 
18.733	16.757	12.411	15.185	13.344	2.732 
16.582	16.934	16.876	14.36	14.859	3.591 
