SCHOOL	GENDER	AGEYEAR	BIRTHMON	VISPERC	CUBES	LOZENGES	PARCOMP	SENCOMP	WORDMEAN	ADDITION	COUNTDOT	S-CCAPS		
1	1	13	4	35	25	25	11	24	19	132	118	187 
1	1	12	11	23	21	3	9	21	12	133	111	235 
1	1	13	6	31	28	25	12	23	15	139	110	199 
1	0.	14	7	51	26	34	18	26	38	133	161	249 
1	1	14	10	33	28	18	15	23	30	96	122	212 
1	1	15	12	21	26	17	12	16	33	118	112	132 
1	1	13	10	37	32	11	16	25	32	80	95	171 
1	0.	13	2	37	20	21	8	19	19	78	101	179 
1	0.	13	10	37	26	29	7	19	19	102	113	210 
1	0.	13	8	39	26	24	17	26	30	115	136	266 
1	1	13	1	39	34	33	10	19	16	95	119	240 
1	1	13	9	18	16	4	10	21	19	68	80	125 
1	1	12	10	28	28	18	10	25	23	87	93	170 
1	0.	14	11	29	23	9	6	24	9	100	182	227 
1	1	13	6	25	20	11	12	19	17	111	125	206 
1	0.	13	5	29	33	11	13	23	26	78	103	198 
1	1	13	7	32	21	15	14	20	29	117	108	237 
1	0.	13	7	30	21	21	12	24	27	96	113	206 
1	1	13	6	35	28	19	18	27	33	145	117	226 
1	0.	12	2	16	34	32	14	22	24	99	108	215 
1	1	13	6	38	30	33	14	22	29	97	120	252 
1	1	13	3	26	25	7	10	15	13	115	129	183 
1	1	13	8	33	28	12	14	21	14	106	106	187 
1	0.	15	4	28	27	32	10	19	17	69	130	198 
1	1	13	4	27	22	16	8	19	15	135	142	225 
1	1	14	5	26	29	10	8	19	13	85	109	220 
1	0.	14	8	30	32	26	7	15	10	109	140	178 
1	0.	13	4	22	23	8	4	13	17	92	81	150 
1	0.	13	9	32	24	8	9	19	14	78	89	191 
1	0.	14	7	31	23	13	12	19	15	82	108	182 
1	0.	14	10	32	25	17	5	11	16	106	143	200 
1	0.	16	5	40	21	15	8	18	13	84	126	215 
1	0.	12	12	21	20	11	7	19	8	80	117	235 
1	0.	13	2	31	25	26	15	24	23	55	80	154 
1	1	14	2	24	24	16	8	18	12	77	94	135 
1	0.	14	4	41	25	15	12	21	19	64	94	189 
1	1	14	10	30	23	10	8	14	12	98	132	240 
1	0.	16	2	35	20	16	10	16	10	80	105	205 
1	0.	13	6	34	27	17	13	25	32	77	119	195 
1	0.	14	4	25	22	13	7	16	11	135	126	204 
1	1	13	2	24	25	6	9	19	23	120	131	206 
1	0.	14	5	36	26	17	10	19	10	56	115	180 
1	0.	15	7	20	19	7	8	20	6	134	110	244 
1	0.	14	12	28	24	9	4	12	11	96	115	174 
1	1	12	12	34	22	13	10	17	14	126	120	162 
1	0.	14	4	34	21	19	10	18	14	78	103	228 
1	1	13	1	35	28	10	9	13	11	96	97	208 
1	0.	13	4	37	26	24	9	17	20	70	85	204 
1	0.	13	6	24	28	11	8	17	7	117	112	189 
1	1	14	11	18	24	13	7	16	7	106	121	219 
1	1	14	4	28	22	15	11	23	30	92	120	274 
1	0.	14	3	26	27	4	11	18	14	117	124	158 
1	0.	13	6	26	24	27	11	23	22	94	139	186 
